Type,,,Authorships Institutions Lineage,,,Primary Topic Id,,,Open Access Is Oa,,,Publication Year,,
name,count,,name,count,,name,count,,name,count,,name,count,
article,96,,Dalian University of Technology,3,,Bibliometric Analysis and Research Evaluation,96,,true,81,,2022,18,
book-chapter,0,,Georgia Institute of Technology,2,,,,,false,15,,2019,15,
dataset,0,,Russian Academy of Sciences,2,,,,,,,,2020,14,
preprint,0,,"University of California, Merced",2,,,,,,,,2021,10,
dissertation,0,,COMSATS University Islamabad,2,,,,,,,,2023,9,
book,0,,Queensland University of Technology,2,,,,,,,,2018,8,
review,0,,University of South Australia,2,,,,,,,,2017,7,
paratext,0,,Yonsei University,2,,,,,,,,2014,5,
libguides,0,,Peking University,2,,,,,,,,2024,5,
letter,0,,Cornell University,2,,,,,,,,2016,3,
other,0,,Stellenbosch University,2,,,,,,,,2015,2,
reference-entry,0,,Board of the Swiss Federal Institutes of Technology,2,,,,,,,,,,
report,0,,Leibniz Association,2,,,,,,,,,,
editorial,0,,ETH Zurich,2,,,,,,,,,,
peer-review,0,,Wuhan University,2,,,,,,,,,,
standard,0,,Anshan Normal University,2,,,,,,,,,,
erratum,0,,Capital University of Science and Technology,2,,,,,,,,,,
grant,0,,Ministry of Economic Affairs and Employment,2,,,,,,,,,,
supplementary-materials,0,,SciTech Strategies (United States),2,,,,,,,,,,
retraction,0,,Lappeenranta-Lahti University of Technology,2,,,,,,,,,,
,,,Massachusetts Institute of Technology,2,,,,,,,,,,
,,,Tehran University of Medical Sciences,2,,,,,,,,,,
,,,VTT Technical Research Centre of Finland,2,,,,,,,,,,
,,,Universidad Nacional Autónoma de México,2,,,,,,,,,,
,,,University of Bologna,2,,,,,,,,,,
,,,University of Siena,1,,,,,,,,,,
,,,Karlsruhe Institute of Technology,1,,,,,,,,,,
,,,University of Palangka Raya,1,,,,,,,,,,
,,,Università Cattolica del Sacro Cuore,1,,,,,,,,,,
,,,Princess Nourah bint Abdulrahman University,1,,,,,,,,,,
,,,Boston University,1,,,,,,,,,,
,,,University of Technology Sydney,1,,,,,,,,,,
,,,Isfahan University of Medical Sciences,1,,,,,,,,,,
,,,Jiangsu University,1,,,,,,,,,,
,,,University of Rome Tor Vergata,1,,,,,,,,,,
,,,Tongji University,1,,,,,,,,,,
,,,Australian National University,1,,,,,,,,,,
,,,National Research University Higher School of Economics,1,,,,,,,,,,
,,,Diponegoro University,1,,,,,,,,,,
,,,University of Bern,1,,,,,,,,,,
,,,Wrocław University of Science and Technology,1,,,,,,,,,,
,,,University of Wolverhampton,1,,,,,,,,,,
,,,Leiden University,1,,,,,,,,,,
,,,University of Iowa,1,,,,,,,,,,
,,,Peoples' Friendship University of Russia,1,,,,,,,,,,
,,,Universidade Tecnológica Federal do Paraná,1,,,,,,,,,,
,,,CGIAR,1,,,,,,,,,,
,,,Centre National de la Recherche Scientifique,1,,,,,,,,,,
,,,University of Molise,1,,,,,,,,,,
,,,University of Vienna,1,,,,,,,,,,
,,,United States Department of Health and Human Services,1,,,,,,,,,,
,,,National Institutes of Health,1,,,,,,,,,,
,,,Helmholtz Association of German Research Centres,1,,,,,,,,,,
,,,Pennsylvania State University,1,,,,,,,,,,
,,,Ural Federal University,1,,,,,,,,,,
,,,National Science Foundation,1,,,,,,,,,,
,,,Springer Nature (Germany),1,,,,,,,,,,
,,,United States Department of Veterans Affairs,1,,,,,,,,,,
,,,Collegio Carlo Alberto,1,,,,,,,,,,
,,,United States Department of Energy,1,,,,,,,,,,
,,,IBM (United States),1,,,,,,,,,,
,,,Garvan Institute of Medical Research,1,,,,,,,,,,
,,,Stockholm Resilience Centre,1,,,,,,,,,,
,,,University of Padua,1,,,,,,,,,,
,,,University of Bradford,1,,,,,,,,,,
,,,University of Lisbon,1,,,,,,,,,,
,,,University of Miami,1,,,,,,,,,,
,,,TU Wien,1,,,,,,,,,,
,,,University of Antwerp,1,,,,,,,,,,
,,,Federation University,1,,,,,,,,,,
,,,Max Planck Society,1,,,,,,,,,,
,,,University of Electronic Science and Technology of China,1,,,,,,,,,,
,,,Emory University,1,,,,,,,,,,
,,,Universidade de Brasília,1,,,,,,,,,,
,,,University of Fribourg,1,,,,,,,,,,
,,,Witten/Herdecke University,1,,,,,,,,,,
,,,University of Illinois Urbana-Champaign,1,,,,,,,,,,
,,,MGH Institute of Health Professions,1,,,,,,,,,,
,,,Instituto Tecnológico de Puebla,1,,,,,,,,,,
,,,University of Sargodha,1,,,,,,,,,,
,,,Sanjay Gandhi Post Graduate Institute of Medical Sciences,1,,,,,,,,,,
,,,Stockholm University,1,,,,,,,,,,
,,,University of Melbourne,1,,,,,,,,,,
,,,University of Massachusetts Chan Medical School,1,,,,,,,,,,
,,,Duke University,1,,,,,,,,,,
,,,Nanyang Technological University,1,,,,,,,,,,
,,,University of the Punjab,1,,,,,,,,,,
,,,Universidad de Granada,1,,,,,,,,,,
,,,University of Bremen,1,,,,,,,,,,
,,,Shenzhen University,1,,,,,,,,,,
,,,University of Oslo,1,,,,,,,,,,
,,,University of Toronto,1,,,,,,,,,,
,,,Ollscoil na Gaillimhe – University of Galway,1,,,,,,,,,,
,,,Universität Innsbruck,1,,,,,,,,,,
,,,Zhengzhou University of Aeronautics,1,,,,,,,,,,
,,,IZA - Institute of Labor Economics,1,,,,,,,,,,
,,,Chinese Academy of Sciences,1,,,,,,,,,,
,,,Golestan University,1,,,,,,,,,,
,,,Princeton University,1,,,,,,,,,,
,,,University of Washington,1,,,,,,,,,,
,,,University of Zurich,1,,,,,,,,,,
,,,Curtin University,1,,,,,,,,,,
,,,Slovak Academy of Sciences,1,,,,,,,,,,
,,,Centro Internacional de Mejoramiento de Maíz Y Trigo,1,,,,,,,,,,
,,,University of Derby,1,,,,,,,,,,
,,,Kyoto University,1,,,,,,,,,,
,,,Berlin-Brandenburg Academy of Sciences and Humanities,1,,,,,,,,,,
,,,University of Johannesburg,1,,,,,,,,,,
,,,University of Cambridge,1,,,,,,,,,,
,,,The Russian Presidential Academy of National Economy and Public Administration,1,,,,,,,,,,
,,,University of Perugia,1,,,,,,,,,,
