weight,word
70,Research Evaluation
27,Bibliometric Analysis
24,Collaboration Patterns
20,Interdisciplinary Research
15,Scientific Impact
14,Citation analysis
8,Social Network Analysis
7,Co-authorship Networks
7,Similarity (geometry)
6,Citation impact
5,Identification
5,Open Access Publishing
5,Web of science
4,Altmetrics
4,Citation Accuracy
4,Data Sharing
4,Impact factor
4,Research Methodology
4,Social Influence
3,Academic Web Impact
3,Baseline (sea)
3,Citation Networks
3,Co-citation
3,Institution
3,Network Analysis
3,Open Science
3,PageRank
3,Rank (graph theory)
3,Research Data
3,Sample (material)
3,Scientific Writing
2,Bibliographic coupling
2,Computational Research
2,Content (measure theory)
2,Data Citation
2,Discipline
2,Drug Target Identification
2,Educational Data Mining
2,Empirical Research
2,Expertise Identification
2,Implementation
2,Influence Maximization
2,Informetrics
2,Internet Research
2,Judgement
2,Knowledge Representation
2,Linkage (software)
2,Mainstream
2,Open research
2,Profiling (computer programming)
2,Promotion (chess)
2,Publication
2,Publication Bias
2,Relevance
2,Scholarly Communication
2,Scientific Data Management
2,Scientific Publishing
2,Scientific Workflows
1,Academic institution
1,Acknowledgement
1,AdaBoost
1,Artificial Intelligences
1,Benchmark (surveying)
1,Bibliographic database
1,Binary classification
1,Biomedical Ontologies
1,Boosting
1,Citation database
1,Citation index
1,Closeness
1,Cochrane collaboration
1,Cognitive map
1,Collaborative network
1,Community-Based Innovation
1,Competitor analysis
1,Complement
1,Computer-supported cooperative work
1,Cross disciplinary
1,Data-driven Education
1,Data Visualization
1,Digital Humanities
1,Digitization
1,e-Science
1,Editorial board
1,Education
1,ENCODE
1,Excellence
1,Exploratory research
1,Feature (linguistics)
1,Globe
1,Graph-Based
1,Heuristics
1,Hyperlink
1,Indexation
1,Information Seeking Behavior
1,Inheritance
1,Investment
1,Job market
1,Keyword
1,Knowledge Graph Embedding
1,Knowledge Management
1,Knowledge Production
1,Knowledge Sharing
1,Knowledge Spillovers
1,Knowledge Transfer
1,Learning Analytics
1,Learning to Rank
1,Leverage (statistics)
1,Matching Methods
1,Model Evaluation
1,Model Interpretability
1,Natural Language Processing
1,Normalization
1,Obsolescence
1,Otology
1,Panorama
1,Patent Analysis
1,Patent visualisation
1,Philosophy of language
1,Philosophy of Science
1,Portrait
1,Predictability
1,Predictive Analysis
1,Prestige
1,Python
1,Realm
1,Representation
1,Research Design
1,Research Dissemination
1,Research Integrity
1,Research Utilization
1,Responsibility in AI
1,Schema (genetic algorithms)
1,Science Communication
1,Scientific field
1,Scientific literature
1,Scientific modelling
1,Scope (computer science)
1,Semantic Web
1,Skepticism
1,Sketch
1,Snapshot (computer storage)
1,Social Impact Assessment
1,Social network (sociolinguistics)
1,Student Performance Prediction
1,Supervised Learning
1,Table (database)
1,Text Mining
1,Textual Data
1,Thematic map
1,Time lag
1,Toolbox
1,University Interlinking
1,Unpacking
1,Value (mathematics)
1,Weaving
1,Word embedding
1,Word2vec
1,Zigzag
