Primary Location Source Is In Doaj,,,Repository,,,Language,,,Best Oa Location Is Published,,,Primary Location Source Id,,,Authorships Institutions Type,,,Has Orcid,,,Corresponding Institution Ids,,,Best Oa Location Is Accepted,,,Has Doi,,,Primary Location Source Is Oa,,,Open Access Any Repository Has Fulltext,,,Grants Funder,,,Primary Topic Field Id,,,Primary Topic Domain Id,,,Corresponding Author Ids,,,Authorships Institutions Continent,,,Is Retracted,,,Primary Location Source Publisher Lineage,,,Best Oa Location License,,,Institutions Is Global South,,,Authorships Countries,,,Keywords Id,,,Authorships Author Id,,,Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,,name,count,
true,332,,DOAJ (DOAJ: Directory of Open Access Journals),196,,English,638,,true,550,,IEEE Access,34,,education,585,,true,631,,Sumy State University,5,,true,584,,true,638,,true,403,,true,516,,National Natural Science Foundation of China,42,,Computer Science,147,,Physical Sciences,286,,Bach Xuan Tran,4,,Asia,670,,false,636,,Multidisciplinary Digital Publishing Institute,129,,CC BY,355,,true,296,,China,161,,Web of science,59,,Carl A. Latkin,5,,2023,171,,true,636,,Bibliometric Analysis and Research Evaluation,29,,Centre National de la Recherche Scientifique,17,,article,638,
false,295,,PubMed,189,,Japanese,0,,false,85,,Scientometrics,24,,facility,85,,false,7,,Wuhan University,5,,false,51,,false,0,,false,224,,false,122,,Horizon 2020 Framework Programme,7,,Engineering,89,,Social Sciences,224,,Yassine Himeur,3,,Europe,547,,true,2,,Elsevier BV,96,,CC BY-NC-ND,69,,false,342,,United States of America,98,,Research Evaluation,33,,Cyrus S. H. Ho,5,,2022,159,,false,2,,Artificial Intelligence in Medicine,23,,Wuhan University,13,,book-chapter,0,
,,,PubMed Central,164,,Spanish,0,,,,,Sustainability,22,,healthcare,65,,,,,University of Bologna,5,,,,,,,,,,,,,,Horizon 2020,7,,Medicine,83,,Health Sciences,92,,Віталія Койбічук,3,,North America,189,,,,,Springer Nature,74,,other open access,26,,,,,United Kingdom of Great Britain and Northern Ireland,89,,Citation analysis,28,,Roger Ho,5,,2021,142,,,,,Impact of Big Data Analytics on Business Performance,23,,University of London,10,,dataset,0,
,,,arXiv (Cornell University),71,,German,0,,,,,International Journal of Environmental Research and Public Health,11,,nonprofit,39,,,,,Central South University,4,,,,,,,,,,,,,,European Commission,6,,"Business, Management and Accounting",76,,Life Sciences,36,,Andreas Hamm,2,,South America,91,,,,,Frontiers Media,60,,CC BY-NC,21,,,,,Italy,55,,Artificial Intelligences,27,,Bach Xuan Tran,5,,2020,68,,,,,Blockchain and Internet of Things Integration,18,,University of Bologna,9,,preprint,0,
,,,DataCite API,40,,French,0,,,,,Energies,9,,government,26,,,,,University of Lisbon,4,,,,,,,,,,,,,,Australian Research Council,5,,Decision Sciences,60,,,,,Yantong Wan,2,,unknown,83,,,,,Institute of Electrical and Electronics Engineers,46,,publisher specific open access,6,,,,,Spain,51,,Identification,21,,Giang Thu Vu,5,,2019,51,,,,,Industry 4.0 and Digital Transformation in Manufacturing,16,,Helmholtz Association of German Research Centres,7,,dissertation,0,
,,,IEEE Access,34,,Chinese,0,,,,,PLoS ONE,8,,company,23,,,,,Hong Kong Polytechnic University,4,,,,,,,,,,,,,,Fundação para a Ciência e a Tecnologia,5,,Social Sciences,58,,,,,Hui Liu,2,,Oceania,76,,,,,Springer Science+Business Media,36,,MIT,4,,,,,Germany,48,,Bibliometric Analysis,18,,Francesco Osborne,5,,2024,47,,,,,Natural Language Processing,12,,Georgia Institute of Technology,7,,book,0,
,,,Scientometrics,24,,Korean,0,,,,,Sensors,7,,archive,10,,,,,Johns Hopkins University,4,,,,,,,,,,,,,,National Science Foundation,4,,Environmental Science,23,,,,,Тetyana Mayboroda,2,,Africa,64,,,,,Springer Nature (Netherlands),24,,CC BY-SA,3,,,,,Australia,41,,Social Network Analysis,17,,Yi Zhang,5,,,,,,,,Smart Cities: Innovations and Challenges,11,,National University of Singapore,7,,review,0,
,,,Sustainability,22,,Portuguese,0,,,,,Technological Forecasting and Social Change,7,,other,5,,,,,Hanoi Medical University,4,,,,,,,,,,,,,,National Key Research and Development Program of China,4,,"Biochemistry, Genetics and Molecular Biology",20,,,,,Marcello M. Mariani,2,,Antarctica,0,,,,,Wiley,15,,public domain (CC0),3,,,,,India,32,,Topic Modeling,17,,Diego Reforgiato Recupero,4,,,,,,,,Automatic Keyword Extraction from Textual Data,10,,Chinese Academy of Sciences,7,,paratext,0,
,,,Europe PMC (PubMed Central),18,,Indonesian,0,,,,,Electronics,7,,,,,,,,Chinese Academy of Sciences,4,,,,,,,,,,,,,,National Social Science Fund of China,4,,Psychology,13,,,,,Weihua Yang,2,,,,,,,,JMIR Publications,12,,CC BY-NC-SA,2,,,,,France,28,,Scientific literature,16,,Manuel J. Cobo,4,,,,,,,,Statistical Mechanics of Complex Networks,9,,Sichuan University,7,,libguides,0,
,,,HAL (Le Centre pour la Communication Scientifique Directe),17,,Russian,0,,,,,Journal of Medical Internet Research,6,,,,,,,,UNSW Sydney,4,,,,,,,,,,,,,,Conselho Nacional de Desenvolvimento Científico e Tecnológico,3,,Physics and Astronomy,12,,,,,Jo�ão Reis,2,,,,,,,,Emerald Publishing Limited,11,,CC BY-ND,2,,,,,Portugal,27,,Scope (computer science),16,,Mengjia Wu,4,,,,,,,,Impact of Social Media on Consumer Behavior,8,,Leibniz Association,7,,letter,0,
,,,RePEc: Research Papers in Economics,16,,Italian,0,,,,,Frontiers in Public Health,6,,,,,,,,University of Almería,4,,,,,,,,,,,,,,National Research Foundation of Korea,3,,"Economics, Econometrics and Finance",11,,,,,Olha Anatoliivna Kramarenko,2,,,,,,,,Public Library of Science,10,,GNU GPLv3,0,,,,,Turkey,27,,Thematic Analysis,16,,Kai Hu,4,,,,,,,,Educational Data Mining and Learning Analytics,8,,University of Almería,7,,other,0,
,,,DergiPark (Istanbul University),16,,Polish,0,,,,,Frontiers in Research Metrics and Analytics,6,,,,,,,,Universidade Nova de Lisboa,4,,,,,,,,,,,,,,Hong Kong Polytechnic University,3,,Neuroscience,8,,,,,Anton Boyko,2,,,,,,,,Taylor & Francis,10,,Apache License 2.0,0,,,,,Netherlands,24,,Blockchain,15,,Enrico Motta,4,,,,,,,,The Spread of Misinformation Online,8,,Universidade Nova de Lisboa,7,,reference-entry,0,
,,,Zenodo (CERN European Organization for Nuclear Research),15,,Dutch,0,,,,,Buildings,6,,,,,,,,Nanchang University,3,,,,,,,,,,,,,,Ministerio de Ciencia e Innovación,3,,Health Professions,7,,,,,Scott W. Cunningham,1,,,,,,,,Hindawi Publishing Corporation,9,,,,,,,,Canada,23,,Bibliographic coupling,14,,Angelo A. Salatino,4,,,,,,,,Data Quality Assessment and Improvement,8,,University of Technology Sydney,6,,report,0,
,,,International Journal of Environmental Research and Public Health,11,,Turkish,0,,,,,Artificial Intelligence Review,5,,,,,,,,Tianjin University,3,,,,,,,,,,,,,,HORIZON EUROPE Framework Programme,3,,Agricultural and Biological Sciences,6,,,,,Swagatam Das,1,,,,,,,,The MIT Press,6,,,,,,,,Poland,17,,Data-driven Education,13,,Feng Xia,4,,,,,,,,Applications of Deep Learning in Medical Imaging,7,,University of Nottingham,6,,editorial,0,
